GAME_DATE,TEAM_NAME,MATCHUP,WIN,PTS,IS_HOME
2025-10-21,Golden State Warriors,GSW @ LAL,1,119,0
2025-10-21,Houston Rockets,HOU @ OKC,0,124,0
2025-10-21,Oklahoma City Thunder,OKC vs. HOU,1,125,1
2025-10-21,Los Angeles Lakers,LAL vs. GSW,0,109,1
2025-09-11,Las Vegas Aces,LVA @ LAS,1,103,0
2025-09-11,Dallas Wings,DAL vs. PHX,1,97,1
2025-09-11,Phoenix Mercury,PHX @ DAL,0,76,0
2025-09-11,Minnesota Lynx,MIN vs. GSV,1,72,1
2025-09-11,Los Angeles Sparks,LAS vs. LVA,0,75,1
2025-09-11,Golden State Valkyries,GSV @ MIN,0,53,0
2025-09-11,New York Liberty,NYL @ CHI,1,91,0
2025-09-11,Chicago Sky,CHI vs. NYL,0,86,1
2025-09-10,Atlanta Dream,ATL @ CON,1,88,0
2025-09-10,Connecticut Sun,CON vs. ATL,0,72,1
2025-09-09,Minnesota Lynx,MIN @ IND,0,72,0
2025-09-09,Golden State Valkyries,GSV @ SEA,0,73,0
2025-09-09,Seattle Storm,SEA vs. GSV,1,74,1
2025-09-09,Washington Mystics,WAS @ NYL,0,66,0
2025-09-09,Los Angeles Sparks,LAS @ PHX,1,88,0
2025-09-09,Phoenix Mercury,PHX vs. LAS,0,83,1
2025-09-09,Indiana Fever,IND vs. MIN,1,83,1
2025-09-09,Las Vegas Aces,LVA vs. CHI,1,92,1
2025-09-09,New York Liberty,NYL vs. WAS,1,75,1
2025-09-09,Chicago Sky,CHI @ LVA,0,61,0
2025-09-08,Atlanta Dream,ATL vs. CON,1,87,1
2025-09-08,Connecticut Sun,CON @ ATL,0,62,0
2025-09-07,Los Angeles Sparks,LAS vs. DAL,1,91,1
2025-09-07,Washington Mystics,WAS vs. IND,0,65,1
2025-09-07,Chicago Sky,CHI @ LVA,0,66,0
2025-09-07,Las Vegas Aces,LVA vs. CHI,1,80,1
2025-09-07,Dallas Wings,DAL @ LAS,0,77,0
2025-09-07,Indiana Fever,IND @ WAS,1,94,0
2025-09-06,Phoenix Mercury,PHX @ CON,0,84,0
2025-09-06,Golden State Valkyries,GSV vs. MIN,0,72,1
2025-09-06,Connecticut Sun,CON vs. PHX,1,87,1
2025-09-06,Minnesota Lynx,MIN @ GSV,1,78,0
2025-09-05,Chicago Sky,CHI @ IND,0,77,0
2025-09-05,Indiana Fever,IND vs. CHI,1,97,1
2025-09-05,Seattle Storm,SEA vs. NYL,0,76,1
2025-09-05,Los Angeles Sparks,LAS @ ATL,0,85,0
2025-09-05,Atlanta Dream,ATL vs. LAS,1,104,1
2025-09-05,New York Liberty,NYL @ SEA,1,84,0
2025-09-04,Washington Mystics,WAS vs. PHX,0,69,1
2025-09-04,Dallas Wings,DAL @ GSV,0,80,0
2025-09-04,Phoenix Mercury,PHX @ WAS,1,75,0
2025-09-04,Golden State Valkyries,GSV vs. DAL,1,84,1
2025-09-04,Minnesota Lynx,MIN @ LVA,0,87,0
2025-09-04,Las Vegas Aces,LVA vs. MIN,1,97,1
2025-09-03,Connecticut Sun,CON @ CHI,0,64,0
2025-09-03,Atlanta Dream,ATL vs. LAS,1,86,1
2025-09-03,Los Angeles Sparks,LAS @ ATL,0,75,0
2025-09-03,Chicago Sky,CHI vs. CON,1,88,1
2025-09-02,Indiana Fever,IND @ PHX,0,79,0
2025-09-02,New York Liberty,NYL @ GSV,0,58,0
2025-09-02,Golden State Valkyries,GSV vs. NYL,1,66,1
2025-09-02,Phoenix Mercury,PHX vs. IND,1,85,1
2025-09-01,Dallas Wings,DAL @ MIN,0,71,0
2025-09-01,Los Angeles Sparks,LAS @ SEA,1,91,0
2025-09-01,Seattle Storm,SEA vs. LAS,0,85,1
2025-09-01,Atlanta Dream,ATL @ CON,1,93,0
2025-09-01,Minnesota Lynx,MIN vs. DAL,1,96,1
2025-09-01,Connecticut Sun,CON vs. ATL,0,76,1
2025-08-31,Indiana Fever,IND @ GSV,0,63,0
2025-08-31,Los Angeles Sparks,LAS vs. WAS,1,81,1
2025-08-31,Washington Mystics,WAS @ LAS,0,78,0
2025-08-31,Golden State Valkyries,GSV vs. IND,1,75,1
2025-08-30,Chicago Sky,CHI @ SEA,0,69,0
2025-08-30,Golden State Valkyries,GSV vs. WAS,1,99,1
2025-08-30,Phoenix Mercury,PHX vs. NYL,1,80,1
2025-08-30,Connecticut Sun,CON vs. MIN,0,70,1
2025-08-30,Washington Mystics,WAS @ GSV,0,62,0
2025-08-30,Minnesota Lynx,MIN @ CON,1,94,0
2025-08-30,Seattle Storm,SEA vs. CHI,1,79,1
2025-08-30,New York Liberty,NYL @ PHX,0,63,0
2025-08-29,Dallas Wings,DAL @ ATL,0,78,0
2025-08-29,Atlanta Dream,ATL vs. DAL,1,100,1
2025-08-29,Indiana Fever,IND @ LAS,1,76,0
