GAME_DATE,TEAM_NAME,MATCHUP,WL,PTS
2025-10-21,Golden State Warriors,GSW @ LAL,W,119
2025-10-21,Houston Rockets,HOU @ OKC,L,124
2025-10-21,Oklahoma City Thunder,OKC vs. HOU,W,125
2025-10-21,Los Angeles Lakers,LAL vs. GSW,L,109
2025-09-11,Las Vegas Aces,LVA @ LAS,W,103
2025-09-11,Dallas Wings,DAL vs. PHX,W,97
2025-09-11,Phoenix Mercury,PHX @ DAL,L,76
2025-09-11,Minnesota Lynx,MIN vs. GSV,W,72
2025-09-11,Los Angeles Sparks,LAS vs. LVA,L,75
2025-09-11,Golden State Valkyries,GSV @ MIN,L,53
2025-09-11,New York Liberty,NYL @ CHI,W,91
2025-09-11,Chicago Sky,CHI vs. NYL,L,86
2025-09-10,Atlanta Dream,ATL @ CON,W,88
2025-09-10,Connecticut Sun,CON vs. ATL,L,72
2025-09-09,Minnesota Lynx,MIN @ IND,L,72
2025-09-09,Golden State Valkyries,GSV @ SEA,L,73
2025-09-09,Seattle Storm,SEA vs. GSV,W,74
2025-09-09,Washington Mystics,WAS @ NYL,L,66
2025-09-09,Los Angeles Sparks,LAS @ PHX,W,88
2025-09-09,Phoenix Mercury,PHX vs. LAS,L,83
2025-09-09,Indiana Fever,IND vs. MIN,W,83
2025-09-09,Las Vegas Aces,LVA vs. CHI,W,92
2025-09-09,New York Liberty,NYL vs. WAS,W,75
2025-09-09,Chicago Sky,CHI @ LVA,L,61
2025-09-08,Atlanta Dream,ATL vs. CON,W,87
2025-09-08,Connecticut Sun,CON @ ATL,L,62
2025-09-07,Los Angeles Sparks,LAS vs. DAL,W,91
2025-09-07,Washington Mystics,WAS vs. IND,L,65
2025-09-07,Chicago Sky,CHI @ LVA,L,66
2025-09-07,Las Vegas Aces,LVA vs. CHI,W,80
2025-09-07,Dallas Wings,DAL @ LAS,L,77
2025-09-07,Indiana Fever,IND @ WAS,W,94
2025-09-06,Phoenix Mercury,PHX @ CON,L,84
2025-09-06,Golden State Valkyries,GSV vs. MIN,L,72
2025-09-06,Connecticut Sun,CON vs. PHX,W,87
2025-09-06,Minnesota Lynx,MIN @ GSV,W,78
2025-09-05,Chicago Sky,CHI @ IND,L,77
2025-09-05,Indiana Fever,IND vs. CHI,W,97
2025-09-05,Seattle Storm,SEA vs. NYL,L,76
2025-09-05,Los Angeles Sparks,LAS @ ATL,L,85
2025-09-05,Atlanta Dream,ATL vs. LAS,W,104
2025-09-05,New York Liberty,NYL @ SEA,W,84
2025-09-04,Washington Mystics,WAS vs. PHX,L,69
2025-09-04,Dallas Wings,DAL @ GSV,L,80
2025-09-04,Phoenix Mercury,PHX @ WAS,W,75
2025-09-04,Golden State Valkyries,GSV vs. DAL,W,84
2025-09-04,Minnesota Lynx,MIN @ LVA,L,87
2025-09-04,Las Vegas Aces,LVA vs. MIN,W,97
2025-09-03,Connecticut Sun,CON @ CHI,L,64
2025-09-03,Atlanta Dream,ATL vs. LAS,W,86
2025-09-03,Los Angeles Sparks,LAS @ ATL,L,75
2025-09-03,Chicago Sky,CHI vs. CON,W,88
2025-09-02,Indiana Fever,IND @ PHX,L,79
2025-09-02,New York Liberty,NYL @ GSV,L,58
2025-09-02,Golden State Valkyries,GSV vs. NYL,W,66
2025-09-02,Phoenix Mercury,PHX vs. IND,W,85
2025-09-01,Dallas Wings,DAL @ MIN,L,71
2025-09-01,Los Angeles Sparks,LAS @ SEA,W,91
2025-09-01,Seattle Storm,SEA vs. LAS,L,85
2025-09-01,Atlanta Dream,ATL @ CON,W,93
2025-09-01,Minnesota Lynx,MIN vs. DAL,W,96
2025-09-01,Connecticut Sun,CON vs. ATL,L,76
2025-08-31,Indiana Fever,IND @ GSV,L,63
2025-08-31,Los Angeles Sparks,LAS vs. WAS,W,81
2025-08-31,Washington Mystics,WAS @ LAS,L,78
2025-08-31,Golden State Valkyries,GSV vs. IND,W,75
2025-08-30,Chicago Sky,CHI @ SEA,L,69
2025-08-30,Golden State Valkyries,GSV vs. WAS,W,99
2025-08-30,Phoenix Mercury,PHX vs. NYL,W,80
2025-08-30,Connecticut Sun,CON vs. MIN,L,70
2025-08-30,Washington Mystics,WAS @ GSV,L,62
2025-08-30,Minnesota Lynx,MIN @ CON,W,94
